Zak;SQM;Vacant
814136003;464,515;2
814136103;833,43;6
814136203;425,04;6
814136303;360,35;2
814136403;486,2;2
814136503;350,7;3
814136603;442,85;2
814136703;696,44;7
814136801;473,48;1
814136901;706,13;5
814137001;422,7;2
814137101;369,26;4
814137201;360,73;1
814137301;348,48;3
814137401;428,07;4
814137501;687,35;9
814137601;453,16;5
814138402;422,85;4
814138502;414,3;2
814138602;659,94;1
814138702;424,23;8
814139003;507,83;2
814139103;339,32;1
814139203;363,705;2
814139303;341,845;4
814139503;459,725;4
814139603;465,35;5
814139703;528,24;1
814139803;351,125;2
814139903;350,485;1
814140003;519,25;2
814140103;409,32;6
814140203;349,135;1
814140303;347,25;2
814140403;466,53;3
814140503;336,475;1
814140603;362,9;3
814140703;451,705;3
814140803;339,855;2
814140903;346,375;1
814141003;348,99;5
814141103;416,68;2
814143203;352,42;3
814143303;528,79;4
814143602;423,5;8
814143702;658,24;12
814143802;430,65;8
814143902;442,65;8
814245904;6161,98;44
815042509;796,1;1
815042609;782,71;1
815042709;824,51;0
815042809;650,76;0
815042909;731,055;1
815043009;648,22;1
815047109;650,085;0
815047209;642,155;2
815047309;644,78;0
815047409;648;0
815047809;628,18;1
815047909;620,115;0
815048009;620,185;0
815049109;969,59;0
815049209;975,145;0
815049309;976,17;0
815053109;614,375;0
815053209;624,54;0
815053309;639,335;2
815055108;238,34;0
815081809;707,46;0
815081909;694,015;1
815082009;712,385;1
815082109;698,935;0
815082209;1432,44;0
815082309;1601,62;1
815082409;1394,305;1
815082509;1598,85;0
815082609;1610,97;0
815096308;440,94;0
815096408;449,4;0
815102109;173,085;0
815105009;207,5;0
815105109;204,57;0
815105209;207,5;0
815105309;207,5;0
815105409;207,5;0
815105509;210,11;0
815105609;207,5;0
815105709;207,5;1
815105809;207,5;0
815105909;203,6;1
815106009;207,5;0
815106109;207,5;0
815106209;207,5;0
815106309;207,5;0
815106409;207,5;0
815106509;207,5;0
815106609;207,5;0
815106709;207,5;0
815106809;207,5;0
815106909;207,5;0
815107009;207,5;0
815107109;207,5;0
815107209;207,5;0
815107309;207,5;0
815107409;207,5;0
815107509;207,5;0
815107609;207,5;0
815107709;207,5;0
815107809;207,5;0
815107909;207,5;0
815108009;207,5;0
815108109;207,5;0
815108209;207,5;0
815108309;211,4;0
815108409;207,5;0
815108509;207,5;0
815108609;207,5;1
815108709;207,5;0
815108809;210,13;0
815108909;207,5;0
815109009;214,62;0
815109109;207,5;0
815109209;207,5;0
815109309;207,5;0
815109409;207,5;0
815109509;207,5;0
815147708;227,05;1
815147808;239;0
815147908;237,28;0
815180008;502,165;0
815180108;479,8;0
815180208;507,955;0
815180308;486,78;1
815180408;482,705;0
815180508;474,955;0
815180608;483,8;0
815180708;484,925;1
815181008;477,905;0
815181108;478,76;0
815181208;475,525;0
815181308;474,09;1
815181408;471,9;0
815181508;477,76;0
815181608;477,1;1
815181708;482,285;1
815235108;703,39;1
815235208;702,27;0
815235308;701,645;0
815235408;703,14;0
815235508;700,8;1
815235608;703,185;0
815235708;709,75;0
815235808;762,96;1
815236208;5216,67;3
816040709;799,015;0
816040809;784,515;0
816040909;794,8;0
816041009;798,085;1
816041109;785,25;0
816041209;796,485;1
816084409;3843,1;1
816086010;814,16;0
816086110;727,29;0
816086210;723,92;0
816086310;824,07;0
816086410;822,535;2
816218508;409,69;1
